"Date","TotalClones","UniqueClones"
"2026-02-20","3","3"
"2026-02-21","12","4"
"2026-02-22","1","1"
"2026-02-23","1","1"
"2026-02-24","9","8"
"2026-02-25","69","27"
"2026-02-26","52","28"
"2026-02-27","32","19"
"2026-02-28","2","2"
"2026-03-01","1","1"
"2026-03-02","119","40"
"2026-03-03","141","50"
"2026-03-04","44","23"
"2026-03-05","3","3"
"2026-03-06","2","2"
"2026-03-07","0","0"
"2026-03-08","1","1"
"2026-03-09","3","3"
"2026-03-10","42","16"
"2026-03-11","4","4"
"2026-03-12","398","112"
"2026-03-13","50","23"
"2026-03-14","30","13"
"2026-03-15","1","1"
"2026-03-16","64","35"
"2026-03-17","192","65"
"2026-03-18","147","63"
2026-03-19,252,83
2026-03-20,250,73
2026-03-21,450,121
2026-03-22,35,10
2026-03-23,17,9
2026-03-24,9,6
2026-03-25,11,8
2026-03-26,45,35
2026-03-27,75,47
2026-03-28,16,13
